comment_id,text,intent,sentiment
comment_000060,berapa,price_inquiry,neutral
comment_000061,bb 55 ambil apa ka,size_recommendation,neutral
comment_000062,BB 85 MBA,size_recommendation,neutral
comment_000064,kak yang gambar cwe melet etalase berpa,product_inquiry,neutral
comment_000065,tb 178 bb 65 pake size berpa ya,size_recommendation,neutral
comment_000066,etalase no 21 kak,product_inquiry,neutral
comment_000067,bb 55 tb 167 ambil apa ka,size_recommendation,neutral
comment_000068,yg dipake ets brp,product_inquiry,neutral
comment_000069,pengiriman Jayapura ga bisah ya mba,not_relevant,neutral
comment_000070,kak aku mau lihat ukuran S etalase no 6,size_inquiry,neutral
comment_000071,Spil eta 18 kak,product_inquiry,neutral
comment_000072,Spil yg size m kak,size_inquiry,neutral
comment_000073,etalase 1 cb lihat ukuran XL,size_inquiry,neutral
comment_000074,aku udh co ka etalase 19,purchase_intent,neutral
comment_000075,spil eta 2 ukuran xl,size_inquiry,neutral
comment_000076,XL muat BB brapa,size_recommendation,neutral
comment_000077,bb 68 ukuran apa kak,size_recommendation,neutral
comment_000078,ukuran s gmna,size_inquiry,neutral
comment_000079,buat BB 69 TB 165 apa ka,size_recommendation,neutral
comment_000080,ka bb 68 Tb 150,size_recommendation,neutral
comment_000081,buat kaos Spiderman bb 68 ukuran apa kak,size_recommendation,neutral
comment_000082,itu ukuran berapa kak yg Spiderman,size_inquiry,neutral
comment_000083,kalau BB 70 TB 165 kk,size_recommendation,neutral
comment_000084,ukuran L ld berapa ka,size_inquiry,neutral
comment_000085,kak eta 42 kak,product_inquiry,neutral
comment_000086,kak liat Spiderman ukuran XL,size_inquiry,neutral
comment_000087,"bajunya sudah sampe, langsug di pake",not_relevant,positive
comment_000089,tb 165+ BB 46+ size ap kak?,size_recommendation,neutral
comment_000090,ka itu bahan baju kaosnya apa ka yang spider,product_inquiry,neutral
comment_000091,tebal ga ka,product_inquiry,neutral
comment_000092,Spiderman buat BB 38 TB 153 berapa kak,size_recommendation,neutral
comment_000093,tebal ya kak bahannya,product_inquiry,neutral
comment_000094,tb 158 kaos Spiderman ukuran apa kak,size_recommendation,neutral
comment_000095,bb 52,size_recommendation,neutral
comment_000096,bahan dan ketebalan,product_inquiry,neutral
comment_000097,163 berat 70 sweter apa cowoknya sm kaos,size_recommendation,neutral
comment_000098,yg Kaka tadi pegang etalase no brpa,product_inquiry,neutral
comment_000099,okee kaosny,not_relevant,neutral
comment_000100,@Sri Nurhayati,not_relevant,neutral
comment_000101,Spil yg spederman,not_relevant,neutral
comment_000102,oke,not_relevant,neutral
comment_000103,bahan apa itu,product_inquiry,neutral
comment_000104,tebal gak kk,product_inquiry,neutral
comment_000105,tb 154 BB 44 ukuran apa,size_recommendation,neutral
comment_000106,TB 163 BB 45 cocok yg mna,size_recommendation,neutral
comment_000107,baju yg tebel yg mana ka,product_inquiry,neutral
comment_000108,yg kk pake uk brp,size_inquiry,neutral
comment_000109,yg di pke KK ukuran apa itu kk,size_inquiry,neutral
comment_000110,lengan panjang ET berapa,product_inquiry,neutral
comment_000111,udah ambil itu 1 sweter sm kaosny,purchase_intent,neutral
comment_000112,eta 2 itu sweater ga kakk,product_inquiry,neutral
comment_000113,pengiriman brp hari ka?,not_relevant,neutral
comment_000114,dr tanggal 4,not_relevant,negative
comment_000115,dr tanggal 4 b3lum terima terima udah di bayar,purchase_intent,negative
comment_000117,eta 10 3xl ka,product_inquiry,neutral
comment_000118,eta 1 spil uk s,size_inquiry,neutral
comment_000119,spil etlse 21 kak,product_inquiry,neutral
comment_000120,pengirimanya kaya sifut,not_relevant,negative
comment_000121,dari tanggal 4,not_relevant,negative
comment_000122,belum dateng dateng ka sampe sekarang,not_relevant,negative
comment_000123,itu bahan tebal?,product_inquiry,neutral
comment_000124,tarnya berbuku gak kain nya?,product_inquiry,neutral
comment_000125,ke bogor ka,not_relevant,neutral
comment_000126,estimasi datang tgl 6,not_relevant,neutral
comment_000127,nantinya berbulu ga kainnya?,product_inquiry,neutral
comment_000128,"salah tcl katanya ka ,muter muter",not_relevant,negative
comment_000129,Spil etalase 4,product_inquiry,neutral
comment_000130,bb 74 ukuran brp,size_recommendation,neutral
comment_000131,bb 41 tb 160,size_recommendation,neutral
comment_000132,bb 80 size apa,size_recommendation,neutral
comment_000133,BB 95,size_recommendation,neutral
comment_000134,BB 45,size_recommendation,neutral
comment_000135,rekomendasi gambar untuk perempuan kak,not_relevant,neutral
comment_000136,Spil etalase 2,product_inquiry,neutral
comment_000137,Etalase 66 kak,product_inquiry,neutral
comment_000138,bahan apa,product_inquiry,neutral
comment_000139,merk apa kak,product_inquiry,neutral
comment_000140,etalase 1 ukuran XXL,size_inquiry,neutral
comment_000141,tb 170 ambil ap,size_recommendation,neutral
comment_000142,"ET 4 , BB 45 ambil ukuran apa kk",size_recommendation,neutral
comment_000143,host nya pake size apa itu,size_inquiry,neutral
comment_000144,yang kepala spider mau lihat gede xxxl nya kak,size_inquiry,neutral
comment_000145,bb45 TB 170 ambil apa,size_recommendation,neutral
comment_000146,Bb 70 tb 170,size_recommendation,neutral
comment_000147,co sekarang dikirim kapan?,purchase_intent,neutral
comment_000149,BB 45 TB 170 ambil apa,size_recommendation,neutral
comment_000150,Kak boleh liat etalase 24,product_inquiry,neutral
comment_000151,BB 60 TB 175,size_recommendation,neutral
comment_000152,etalase 1,product_inquiry,neutral
comment_000153,bb 45 tb 170 uk apa kak,size_recommendation,neutral
comment_000155,BB 66 TB 153,size_recommendation,neutral
comment_000157,ET 23 kak,product_inquiry,neutral
comment_000158,sablon nya apa kak,product_inquiry,neutral
comment_000159,tb 158 bb 40 uk?,size_recommendation,neutral
comment_000160,ET 23 kk,product_inquiry,neutral
comment_000162,sablonnya apa kak,product_inquiry,neutral
comment_000164,"@hi, kamu",not_relevant,neutral
comment_000168,Bb 73 tb 167 size ap kk,size_recommendation,neutral
comment_000170,Bahan apa kk,product_inquiry,neutral
comment_000171,BB 73 tinggi 158 UK apa kak,size_recommendation,neutral
comment_000172,BB 72 TB 155,size_recommendation,neutral
comment_000173,tb 155 bb 35 ambil apa kak,size_recommendation,neutral
comment_000174,tb 180 bb 70,size_recommendation,neutral
comment_000175,kk beneran gratis parfum,price_inquiry,neutral
comment_000177,spil et 1 yg ukuran M kak,size_inquiry,neutral
comment_000178,udh co kak,purchase_intent,neutral
comment_000179,liat ukuran s nya kak,size_inquiry,neutral
comment_000180,untuk bb 57 size apa ka?,size_recommendation,neutral
comment_000181,itu cuttingan nya oversize yaa ka?,product_inquiry,neutral
comment_000182,LD yg size XL brp ka?,size_inquiry,neutral
comment_000183,BB 61 TB 160,size_recommendation,neutral
comment_000184,ka bb 60 tb 160 ambil apa biar pas?,size_recommendation,neutral
comment_000185,yang ga over size,not_relevant,neutral
comment_000186,catton combed 16s ny etalase brp,product_inquiry,neutral
comment_000187,BB 93 kilo pakai ukuran apa kak,size_recommendation,neutral
comment_000188,uda co uda byar kok belum datang” ya?,purchase_intent,negative
comment_000189,estimasi 12-14 agustus,not_relevant,neutral
comment_000190,kak baju nya semua wrna item?,product_inquiry,neutral
comment_000191,makan mhh udh biasa mas 🗿,not_relevant,neutral
comment_000198,etalase berapa itu ka,product_inquiry,neutral
comment_000199,Eta 22 kak,product_inquiry,neutral
comment_000200,eta 19 kak,product_inquiry,neutral
comment_000201,Liat uk s nya kak,size_inquiry,neutral
comment_000202,"sory kak,pesenan saya katanya sudh di batalkan ya,tapi dana nya blm di kembalikan dari 2 hari lalu?",not_relevant,negative
comment_000203,eta 45 kak,product_inquiry,neutral
comment_000205,L bb 62 masuk gk kak,size_recommendation,neutral
comment_000206,Gk bisa cod ya kak,not_relevant,neutral
comment_000207,bales dong dm an nya😊,not_relevant,neutral
comment_000208,etalase 3 dong kak,product_inquiry,neutral
comment_000209,"respon nya aja gajelas dri admin,pdhl paket sedang di kirim loh?",not_relevant,negative
comment_000210,etalase 5 kak,product_inquiry,neutral
comment_000213,coba liat dm an saya astaga dri hp yg lain,not_relevant,neutral
comment_000215,tebel ga kak bahan nya,product_inquiry,neutral
comment_000216,kak cb suru admin nya bls cht sy,not_relevant,neutral
comment_000217,kirim nomer resi nya kirm dmn?,not_relevant,neutral
comment_000218,etalase 28 ka,product_inquiry,neutral
comment_000219,bb55 tb172 size apa ka,size_recommendation,neutral
comment_000220,yg gambar di belakang yang mana,not_relevant,neutral
comment_000221,etalase 2 BB 37 TB 140 ambil apa ka,size_recommendation,neutral
comment_000222,"J Y 1 3 1 7 6 2 2 5 0 8,tuh resi ny",not_relevant,neutral
comment_000223,etalase spider kiri atas,product_inquiry,neutral
comment_000224,(JY1317622508) tuh kak nmr nya,not_relevant,neutral
comment_000225,iyees,not_relevant,neutral
comment_000227,TB 175/62 size?,size_recommendation,neutral
comment_000228,yg gambar Spiderman merah kak,color_inquiry,neutral
comment_000229,Spil kaos Linkin Park,product_inquiry,neutral
comment_000230,Spil etalase 2 uk m,size_inquiry,neutral
comment_000231,payment ga bisa Qris ka,not_relevant,neutral
comment_000233,pengiriman dri mana ka,not_relevant,neutral
comment_000235,bb 60 tb 165 size brp kk,size_recommendation,neutral
comment_000236,iya itu ka ambil s aja ka,not_relevant,neutral
comment_000238,klo di cuci hilang gak sablon nya kak?,product_inquiry,neutral
comment_000239,udah co UK L sama XL,purchase_intent,neutral
comment_000240,BB 48 TB 152 ambil size apa kk,size_recommendation,neutral
comment_000241,BB 48 TB 152 ambil size berapa,size_recommendation,neutral
comment_000242,kak aku dah co 3 kaos,purchase_intent,neutral
comment_000243,BB 37 TB 140 ambil S apa m,size_recommendation,neutral
comment_000244,kain nya tebel ga kakk?,product_inquiry,neutral
comment_000245,BB 65 TB 185 ambil UK apa kak?,size_recommendation,neutral
comment_000246,KA etalase 2 TB 148 BB  40,size_recommendation,neutral
comment_000247,kak kalau beli 3 kaos dapat free parfum 3 juga kah,price_inquiry,neutral
comment_000248,etalase 11 kak yang dateng gambar nya kayak yang di keranjang kak?,purchase_intent,neutral
comment_000249,kak bb 80 tb 175 uk apa kak,size_recommendation,neutral
comment_000250,BB 65 TB 175,size_recommendation,neutral
comment_000251,buat BB 95 pake ukuran apa kak,size_recommendation,neutral
comment_000252,bb56 tb 171,size_recommendation,neutral
comment_000253,kak Spil etalase 27 sama 3,product_inquiry,neutral
comment_000254,kain ap kk. kain katun kain yg gmbang bau,product_inquiry,neutral
comment_000255,eta 11 ka,product_inquiry,neutral
comment_000256,ka paket ku udah dtang bagus bgt,not_relevant,positive
comment_000257,eta 18 kak,product_inquiry,neutral
comment_000258,kainnya ngk berbulu kak kalau di cuci,product_inquiry,neutral
comment_000259,eta 18 buat BB 95 cukup gak,size_recommendation,neutral
comment_000260,Spil BB 100 kak,size_recommendation,neutral
comment_000261,buat BB 95 bisa gak eta 18,size_recommendation,neutral
comment_000262,et 51 kak spil,product_inquiry,neutral
comment_000263,kak kalo XL Ld nya brp,size_inquiry,neutral
comment_000264,untuk umur 11 tahun pakek UK apa kak,size_recommendation,neutral
comment_000265,aku udah co yah sweaternya,purchase_intent,neutral
comment_000266,30 kg kak,size_recommendation,neutral
comment_000267,eta 17,product_inquiry,neutral
comment_000268,yg di pake kakaknya,not_relevant,neutral
comment_000269,Sdh co kak et 51,purchase_intent,neutral
comment_000270,eta,product_inquiry,neutral
comment_000271,bb 80 tb 170 size naon,size_recommendation,neutral
comment_000272,bb 62 tb 170,size_recommendation,neutral
comment_000273,BB103 TB175 LDnya110 pake uk apa yang bener² oversize,size_recommendation,neutral
comment_000274,spil 5 kk,product_inquiry,neutral
comment_000275,saya tb 170an,size_recommendation,neutral
comment_000276,BB 50,size_recommendation,neutral
comment_000277,saya mau ambil 2 rekomen dong kk saya mau ambil et 5 trus yang rekomen apa,purchase_intent,neutral
comment_000278,kak spil uk xxl,size_inquiry,neutral
comment_000279,bb 43 uk brp kak,size_recommendation,neutral
comment_000280,spil etalase 6 kk,product_inquiry,neutral
comment_000281,bb 55 tb 150 kk,size_recommendation,neutral
comment_000282,oky kk da co,purchase_intent,neutral
comment_000283,spil etalase 24 ka,product_inquiry,neutral
comment_000284,disini baju termaksud murah dengan kualitas yang bagus,not_relevant,positive
comment_000285,XL ld brp ka,size_inquiry,neutral
comment_000286,saya waktu tu beli sablon nya mesin cuci pun masi aman sampai sekarang,product_inquiry,positive
comment_000287,kak boleg rekues ka,not_relevant,neutral
comment_000288,bb 56 tb 164 ambil uk apaaa kak,size_recommendation,neutral
comment_000289,beli sepuluh berapa ka,price_inquiry,neutral
comment_000290,"ketebalan brpa mb,,yg gambar blakang eta brap",product_inquiry,neutral
comment_000291,etalase 17,product_inquiry,neutral
comment_000292,tlg bls cht,not_relevant,neutral
comment_000293,untuk sweater Tb 170 Bb 58?,size_recommendation,neutral
comment_000294,saya retur pkt udah sampai di kalian tpi uang saya ga di balikin,not_relevant,negative
comment_000295,kak nggak bisa pakai qris ya?,not_relevant,neutral
comment_000296,bb75 TB 178,size_recommendation,neutral
comment_000297,eta lase 5 ka,product_inquiry,neutral
comment_000298,bb 55 tb 165 sz ap kk,size_recommendation,neutral
comment_000299,spil ukuran L teh,size_inquiry,neutral
comment_000300,Spil etalase 3 kak,product_inquiry,neutral
comment_000301,BB 92 TB 167,size_recommendation,neutral
comment_000302,bb56 tb162 ambil apa,size_recommendation,neutral
comment_000303,etalase 25 KA,product_inquiry,neutral
comment_000304,eh salahh no 4,not_relevant,neutral
comment_000305,klo buat tb 173 bb 50 pke ukuran apa ka,size_recommendation,neutral
comment_000306,kakk bb 60 tb 165 size berapa,size_recommendation,neutral
comment_000307,coba angkat tangan nya kk,not_relevant,neutral
comment_000308,udh d co sayang,purchase_intent,neutral
comment_000309,biar tau kebelet atau engga bajunya,not_relevant,neutral
comment_000310,angkat aja coba,not_relevant,neutral
comment_000311,coba spil baju etalase 15,product_inquiry,neutral
comment_000312,etalase no wa,product_inquiry,neutral
comment_000313,kak boleh lihat size chart nya gak,size_inquiry,neutral
comment_000314,biar tau ketet atau engga bajunya,not_relevant,neutral
comment_000315,yng kaka pke di etalase brapa,product_inquiry,neutral
comment_000316,coba angkat tangan kak biar tau ketet bajunya,not_relevant,neutral
comment_000317,buat bb 120+,size_recommendation,neutral
comment_000318,liat sablonan belakang yang lagi di pake,product_inquiry,neutral
comment_000319,"Jahat yee, cuma di bca doang😂",not_relevant,negative
comment_000320,ukuran s kaya AP kak,size_inquiry,neutral
comment_000321,Chtku🤣,not_relevant,neutral
comment_000322,etalase 45,product_inquiry,neutral
comment_000323,Dahlahh😌🤣,not_relevant,neutral
comment_000325,alhamdulillah 😎😎😎,not_relevant,positive
comment_000326,ga jadi ganti rok 🤪🤪🤪,not_relevant,neutral
comment_000327,yg penting ga jadi 🤪🤪😎😎,not_relevant,neutral
comment_000328,boleh liat bahan nya KA??,product_inquiry,neutral
comment_000329,itu tahu,not_relevant,neutral
comment_000330,spil ukuran s nya dong ka,size_inquiry,neutral
comment_000331,itu rambut makin banyak antenanya 🤪🤪,not_relevant,neutral
comment_000332,yg kk pakai size ap,size_inquiry,neutral
comment_000333,etalase no 24 kak,product_inquiry,neutral
comment_000334,oke kak dh co tinggal nunggu,purchase_intent,neutral
comment_000335,udah co ets3 kak,purchase_intent,neutral
comment_000336,design yg keren yg mana kak,not_relevant,neutral
comment_000337,montok banget,not_relevant,neutral
comment_000338,"pengen beli ,but... uang ga cukup buat ongkir",not_relevant,negative
comment_000339,tb 173 bb 73 ambil ukuran apa ka,size_recommendation,neutral
comment_000340,tb 158 bb 46 ambil uk apa,size_recommendation,neutral
comment_000341,spil etalase 7,product_inquiry,neutral
comment_000342,eta brpa yg d pake kaka,product_inquiry,neutral
comment_000343,belanja minimum 80rb itu dapat parfum ka? parfum apa ka?,price_inquiry,neutral
comment_000344,buat cowok,product_inquiry,neutral
comment_000345,yg kk pake etl brpa,product_inquiry,neutral
comment_000346,merdeka,not_relevant,neutral
comment_000347,uk brp yg kk pke,size_inquiry,neutral
comment_000348,Bb 97 ukuran apa kak,size_recommendation,neutral
comment_000349,kk untuk BB 30 itu bagus ukuran apa?,size_recommendation,neutral
comment_000350,eta 10,product_inquiry,neutral
comment_000351,BB 90 kak,size_recommendation,neutral
comment_000353,bb 55 kak ukuran apa,size_recommendation,neutral
comment_000354,"baju yang kamu pakai etalase berapa, boleh liat belakangnya juga, saya cari yang polos belakangnya",product_inquiry,neutral
comment_000355,bb 43,size_recommendation,neutral
comment_000356,eta 10 BB 43,size_recommendation,neutral
comment_000358,75 ukuran apa ka,size_inquiry,neutral
comment_000359,yahh udh nonton spidermanya baru lewat kaosnya kak,not_relevant,neutral
comment_000360,BB 45 UK brapa kak,size_recommendation,neutral
comment_000361,etalase 4 xxxl kak mau co soalnya,purchase_intent,neutral
comment_000362,coba adep blkg ka,not_relevant,neutral
comment_000363,no 1 ukuran L kak,size_inquiry,neutral
comment_000364,etalase 13 dong,product_inquiry,neutral
comment_000365,etelse no 1 kak ukurann L,size_inquiry,neutral
comment_000366,besarr yaa,not_relevant,neutral
comment_000367,M brrti kak kmu pakai ukuraan apa?,size_inquiry,neutral
comment_000368,et 1 itu yang ukuran S bb brp,size_inquiry,neutral
comment_000369,etalase 1 tb 165 bb 45 ukuran apa?,size_recommendation,neutral
comment_000370,ka xxxl ld brp,size_inquiry,neutral
comment_000371,ka coba  liatt etalase 3,product_inquiry,neutral
comment_000372,kk udh lama yh,not_relevant,neutral
comment_000373,tb 163 uk apa,size_recommendation,neutral
comment_000374,live nya🗿,not_relevant,neutral
comment_000375,kak celana nya este no berapa,product_inquiry,neutral
comment_000376,kak host yg pake kaca mata kok mirip sama kak,not_relevant,neutral
comment_000377,ka spil etl 22 dan 45,product_inquiry,neutral
comment_000378,tumben g pake kacamata,not_relevant,neutral
comment_000379,aku dh co 2biji makasih ka,purchase_intent,neutral
comment_000380,omak anime yh🗿,not_relevant,neutral
comment_000382,baju spiderman,not_relevant,neutral
comment_000383,etalase berapq,product_inquiry,neutral
comment_000384,spil Parker njrr,not_relevant,neutral
comment_000385,1,not_relevant,neutral
comment_000386,kk bahan nyaa apa,product_inquiry,neutral
comment_000387,di aku 29k kak anjrr,price_inquiry,neutral
comment_000388,nya bedaaa,not_relevant,neutral
comment_000389,etalase 11 kk,product_inquiry,neutral
comment_000390,kok komen ku ga keliatan,not_relevant,neutral
comment_000391,BB 60 perut buncit kak,size_recommendation,neutral
comment_000392,eta 2 kak,product_inquiry,neutral
comment_000393,yg kakak pakai UK apa,size_inquiry,neutral
comment_000394,cewe tb 160 bb 65 cocok ukuran apa,size_recommendation,neutral
comment_000395,kalo yg belakang itu kak lab2 merah,color_inquiry,neutral
comment_000396,27 ka,not_relevant,neutral
comment_000397,60 178 ?,size_recommendation,neutral
comment_000398,"kk bb 50 tb 155,5 ambil ukuran apaa kaak",size_recommendation,neutral
comment_000399,laba2 merah belakang,color_inquiry,neutral
comment_000400,Spil etalase 21 kk,product_inquiry,neutral
comment_000401,aku udah ngoleksi 5 motifnya 😍,not_relevant,positive
comment_000402,Etalase 21 kk,product_inquiry,neutral
comment_000403,etalase 15 kak,product_inquiry,neutral
comment_000404,bb 88 ukuran brp,size_recommendation,neutral
comment_000405,bb60 tngi 180 pkai apa,size_recommendation,neutral
comment_000406,iya cakev,not_relevant,neutral
comment_000407,kaosnya bahan apa ka,product_inquiry,neutral
comment_000408,ka spil etalase 1,product_inquiry,neutral
comment_000409,bb 50 tb 160 ambil apa kak,size_recommendation,neutral
comment_000410,etalase 11 dapet harga 107 kak,price_inquiry,neutral
comment_000411,nice,not_relevant,positive
comment_000412,bahan nya apa?,product_inquiry,neutral
comment_000413,etalase no 3 kak,product_inquiry,neutral
comment_000414,bahannya cepet apek ngk kak,product_inquiry,neutral
comment_000415,liat gambar blkang kak,not_relevant,neutral
comment_000416,yg dipake uk apa kk,size_inquiry,neutral
comment_000417,etalase 17 kak,product_inquiry,neutral
comment_000418,spil,not_relevant,neutral
comment_000419,bb 70 ukuran berapaan kk,size_recommendation,neutral
comment_000420,bisa cod ga kak,not_relevant,neutral
comment_000421,spil etalase 12 kk,product_inquiry,neutral
comment_000422,bb 35 ukuran apa,size_recommendation,neutral
comment_000423,udah co kak,purchase_intent,neutral
comment_000424,dikirim kapan yah?,not_relevant,neutral
comment_000425,udah aku masukin ke keranjang kak,purchase_intent,neutral
comment_000426,ok semoga cepat sampai yah kk,not_relevant,positive
comment_000427,bb 50 tb 147 kak uk apa kak,size_recommendation,neutral
comment_000428,kalau yg s kak boleh di spil,size_inquiry,neutral
comment_000429,bb 45 tb 163 uk apa kka,size_recommendation,neutral
comment_000430,co miminya boleh?,purchase_intent,neutral
comment_000431,bb 60 uk apa kak,size_recommendation,neutral
comment_000432,spil Etlase 5 min,product_inquiry,neutral
comment_000433,ka eta 13 dong,product_inquiry,neutral
comment_000434,etalase 6 ukuran m kayak gimana kak,size_inquiry,neutral
comment_000435,eta 13 ka,product_inquiry,neutral
comment_000436,spil uk m kka,size_inquiry,neutral
comment_000437,Etalase 33 kk,product_inquiry,neutral
comment_000438,yang Spiderman di belakang kak,not_relevant,neutral
comment_000440,etalase 46 ka,product_inquiry,neutral
comment_000441,bisa costum ukuran?,size_inquiry,neutral
comment_000442,Yang Spiderman di belakang kak,not_relevant,neutral
comment_000443,sablonya awet ga ka?,product_inquiry,neutral
comment_000444,eta 31 bb 45,size_recommendation,neutral
comment_000445,bb 60 tb 168,size_recommendation,neutral
comment_000446,BB 100 yang spider ukuran berapa,size_recommendation,neutral
comment_000447,bahannya mudah melar GK kk?,product_inquiry,neutral
comment_000448,udah 7h belum dateng datengg,not_relevant,negative
comment_000449,bb 47 tb 165,size_recommendation,neutral
comment_000450,Bb 38 tb 150,size_recommendation,neutral
comment_000451,bb 70,size_recommendation,neutral
comment_000452,udah kirim ke alamat udah dua hari enga di kirim🤣,not_relevant,negative
comment_000453,mana udah di tf,not_relevant,negative
comment_000454,2 kak baju spider,not_relevant,neutral
comment_000455,mbak udah Co eta 4,purchase_intent,neutral
comment_000456,kalau bb 67 tb 165,size_recommendation,neutral
comment_000457,Aaminn,not_relevant,positive
comment_000458,bahan nya apa,product_inquiry,neutral
comment_000459,melar ya,not_relevant,neutral
comment_000460,kak bb 50 uk berapa?? buat etalase 2,size_recommendation,neutral
comment_000461,kak BB 48 size apa kak,size_recommendation,neutral
comment_000462,kak klo co skrg sampe nya kapan kira2 kak ke tangsel,purchase_intent,neutral
comment_000463,itu yg di pegang ukuran apa kak?,size_inquiry,neutral
comment_000464,kak,not_relevant,neutral
comment_000465,BB 58 kak,size_recommendation,neutral
comment_000466,mbak boleh tanya,not_relevant,neutral
comment_000467,kak yg laba laba di belakang kang,not_relevant,neutral
comment_000468,14 ya mbak,not_relevant,neutral
comment_000469,yg warna putih,color_inquiry,neutral
comment_000470,itu zize apa kak,size_inquiry,neutral
comment_000471,bb 110 kak ukuran apa,size_recommendation,neutral
comment_000472,keren studiomya skrg,not_relevant,positive
comment_000473,Ka ini baju gombrang ?,product_inquiry,neutral
comment_000474,kl berat 73 uk ap,size_recommendation,neutral
comment_000475,Etalase 22 kk,product_inquiry,neutral
comment_000476,Yg di pake uk apa,size_inquiry,neutral
comment_000477,Etalase 22 kk spil,product_inquiry,neutral
comment_000478,kak bb 85 size brp,size_recommendation,neutral
comment_000479,KA liat eta 37 yg ukuran XL,size_inquiry,neutral
comment_000480,Kk aku uda co 2 etalase 21 sama etalase 22,purchase_intent,neutral
comment_000481,ka coba yg Spiderman,not_relevant,neutral
comment_000482,BB 70 ka pake ukuran apa,size_recommendation,neutral
comment_000483,ka eta ⁴ buat anak SMA ukuran s apa m ?,size_inquiry,neutral
comment_000484,spil 65 spil kk cantik,product_inquiry,neutral
comment_000485,baju aku udah datang baguss pwollll lembut bahan nya mana murah lagi,not_relevant,positive
comment_000486,63 spil,product_inquiry,neutral
comment_000487,ka coba etalse 57,product_inquiry,neutral
comment_000488,eta (15-25) yg paling worth it dari bahan apa yah,size_recommendation,neutral
comment_000489,no 18 kak,not_relevant,neutral
comment_000490,liat bahan dalem.y kak,product_inquiry,neutral
comment_000491,sablon pakek apa,product_inquiry,neutral
comment_000492,BB 85 TB 173,size_recommendation,neutral
comment_000493,Spil eta 3 & 4 kak,product_inquiry,neutral
comment_000494,Eta 3 pengiriman drmn kak co skr d kirim kpn,purchase_intent,neutral
comment_000495,etalase 2 kak,product_inquiry,neutral
comment_000496,Bb 64 size apa kak,size_recommendation,neutral
comment_000497,Eta 3 bsa buat Cowo ga kak,product_inquiry,neutral
comment_000498,BB 80 brapa kak,size_recommendation,neutral
comment_000499,bb87,size_recommendation,neutral
comment_000500,"ukuran nya apa""?",size_inquiry,neutral
comment_000501,over size ya,not_relevant,neutral
